census_id,country,year,census_label,geolev2,single_m20s,wh_ratio,poly_men,poly_women,avg_educ,log_popdens,sex_ratio
854_1996,854,1996,Burkina Faso 1996,854001013,0.466013071895425,1.16144510302004,0.208298052497883,0.186148238153098,,3.44967002784078,0.938960515713135
854_1996,854,1996,Burkina Faso 1996,854001015,0.580152671755725,1.31689497716895,0.281887366818874,0.264447526583449,,3.58185084315285,0.906694091249065
854_1996,854,1996,Burkina Faso 1996,854001027,0.627906976744186,1.32528690146419,0.285318559556787,0.26007763511496,,3.50645794725514,0.921193751457216
854_1996,854,1996,Burkina Faso 1996,854001031,0.611480865224626,1.35832606800349,0.30514385353095,0.273427471116816,,3.66918685190028,0.8785536159601
854_1996,854,1996,Burkina Faso 1996,854001032,0.569795427196149,1.30926111668338,0.326312270143765,0.288815117466803,,3.66407434693254,0.938097306689835
854_1996,854,1996,Burkina Faso 1996,854001040,0.562236286919831,1.32744340143567,0.302043070127002,0.276206322795341,,3.6558396197515,0.854019292604502
854_1996,854,1996,Burkina Faso 1996,854002006,0.720905172413793,1.34134007585335,0.319848293299621,0.279688972667295,,2.79177838389227,0.924442833846711
854_1996,854,1996,Burkina Faso 1996,854002038,0.683050847457627,1.36292428198433,0.395996518711923,0.318007662835249,,3.41903732978394,0.877211238293444
854_1996,854,1996,Burkina Faso 1996,854003011,0.81250655754905,1.17655672009864,0.149121454993835,0.159690836444619,,5.81975651105964,1.11305709810622
854_1996,854,1996,Burkina Faso 1996,854004004,0.690286899412375,1.50383631713555,0.336415502655912,0.276949241234956,,4.21980173022592,0.843369977624283
854_1996,854,1996,Burkina Faso 1996,854004014,0.704518430439952,1.44306220095694,0.290909090909091,0.25685234305924,,4.52850513071143,0.859862778730703
854_1996,854,1996,Burkina Faso 1996,854004036,0.569776407093292,1.33126822157434,0.310495626822157,0.269367643033123,,3.62380744515037,0.880376344086022
854_1996,854,1996,Burkina Faso 1996,854005001,0.668500687757909,1.46534653465347,0.353868720205354,0.304554554554555,,4.02015964759043,0.844408753262397
854_1996,854,1996,Burkina Faso 1996,854005017,0.604665438919583,1.38109393579073,0.37217598097503,0.328024106758502,,3.68912938092963,0.870914734343619
854_1996,854,1996,Burkina Faso 1996,854005023,0.715175352343494,1.55778640121478,0.414374894550363,0.353839488790209,,3.94061047710999,0.820263832905826
854_1996,854,1996,Burkina Faso 1996,854006005,0.823650739085596,1.8190455625135,0.452170157633341,0.405389363722697,,4.68490518216946,0.7478276776731
854_1996,854,1996,Burkina Faso 1996,854006022,0.764086361242759,1.7003341997772,0.411437059041961,0.383926621533086,,3.95469928555373,0.806298955613577
854_1996,854,1996,Burkina Faso 1996,854006025,0.682157676348548,1.46292585170341,0.372745490981964,0.323972602739726,,3.19335290206469,0.894494168700841
854_1996,854,1996,Burkina Faso 1996,854006044,0.675033025099075,1.50611413043478,0.40625,0.366260712674786,,3.16039889188616,0.830745929572132
854_1996,854,1996,Burkina Faso 1996,854007002,0.728503184713376,1.55404896421846,0.407532956685499,0.354338342220068,,4.04252483492464,0.769245463228271
854_1996,854,1996,Burkina Faso 1996,854007016,0.671052631578947,1.27452153110048,0.248205741626794,0.231816048803379,,3.57290724787836,0.890479153702551
854_1996,854,1996,Burkina Faso 1996,854007030,0.656952539550375,1.41936774709884,0.360144057623049,0.306738088525515,,4.01908210514294,0.829359002406476
854_1996,854,1996,Burkina Faso 1996,854008008,0.403365165984538,1.18835616438356,0.30179794520548,0.267471181556196,,3.59319416199878,0.938978240302744
854_1996,854,1996,Burkina Faso 1996,854008009,0.635916359163592,1.30669840190411,0.304998299897994,0.265157429091855,,3.01651481645836,0.947602885023335
854_1996,854,1996,Burkina Faso 1996,854008028,0.61472602739726,1.2316844082655,0.358484658735128,0.299186578546009,,2.80819714512331,0.956011730205279
854_1996,854,1996,Burkina Faso 1996,854008034,0.421875,1.10687960687961,0.2997542997543,0.259711431742508,,2.33601988387719,0.989351403678606
854_1996,854,1996,Burkina Faso 1996,854008035,0.612612612612613,1.15064102564103,0.246794871794872,0.221448467966574,,1.8341802216775,1.05795454545455
854_1996,854,1996,Burkina Faso 1996,854009010,0.725711311589174,1.25112059765208,0.247171824973319,0.231340100656828,,4.10280861290328,1.00804628275037
854_1996,854,1996,Burkina Faso 1996,854009012,0.588313413014608,1.26582278481013,0.336708860759494,0.282,,3.18882891295531,0.982266954229571
854_1996,854,1996,Burkina Faso 1996,854009042,0.535947712418301,1.3887399463807,0.344057193923146,0.292149292149292,,3.39417279747376,0.882743951076841
854_1996,854,1996,Burkina Faso 1996,854010020,0.803128371089536,1.65238247521586,0.409018228333866,0.333268821366364,,4.28289662664109,0.847422680412371
854_1996,854,1996,Burkina Faso 1996,854010029,0.687133600740512,1.44411142454161,0.360190409026798,0.295568306678061,,4.23497565661577,0.895404271548436
854_1996,854,1996,Burkina Faso 1996,854010039,0.589403973509934,1.36518771331058,0.36518771331058,0.304,,3.42556473066087,0.887551867219917
854_1996,854,1996,Burkina Faso 1996,854010045,0.642076502732241,1.57179000632511,0.412397216951297,0.337625754527163,,4.22508034403859,0.746312684365782
854_1996,854,1996,Burkina Faso 1996,854011007,0.694152046783626,1.4727602905569,0.374697336561743,0.316070694615701,,4.15166964325749,0.857405549983283
854_1996,854,1996,Burkina Faso 1996,854011018,0.673858921161826,1.50940438871473,0.387147335423198,0.327102803738318,,4.28468942701226,0.781926177344082
854_1996,854,1996,Burkina Faso 1996,854011037,0.816831683168317,1.74357142857143,0.454285714285714,0.379352724293322,,4.39949816056807,0.801993355481728
854_1996,854,1996,Burkina Faso 1996,854012019,0.591288229842447,1.02488593944421,0.0974699294898382,0.0914609469850263,,2.68648604396294,1.01802600472813
854_1996,854,1996,Burkina Faso 1996,854012024,0.434146341463415,0.98496644295302,0.128053691275168,0.12346688470973,,3.39282913199164,1.03089049850873
854_1996,854,1996,Burkina Faso 1996,854012026,0.446027397260274,1.14230396902227,0.227734753146176,0.207838983050848,,3.0397491407411,0.937039635215714
854_1996,854,1996,Burkina Faso 1996,854012043,0.356413166855846,0.950148075024679,0.147581441263574,0.143376623376623,,2.89092717190302,1.05560344827586
854_1996,854,1996,Burkina Faso 1996,854013003,0.801232665639445,1.40560165975104,0.286307053941909,0.261254612546126,,3.46323277496256,0.938030984507746
854_1996,854,1996,Burkina Faso 1996,854013021,0.85705329153605,1.47843309859155,0.338028169014085,0.289074129205121,,3.36280302273615,0.903869166334264
854_1996,854,1996,Burkina Faso 1996,854013033,0.631383472609099,1.38991270611057,0.221144519883608,0.189462665736218,,3.9156165470164,0.802075423943306
854_1996,854,1996,Burkina Faso 1996,854013041,0.683937823834197,1.3536231884058,0.272463768115942,0.248394004282655,,2.97909463626472,0.946166394779772
854_2006,854,2006,Burkina Faso 2006,854001013,0.406148867313916,1.14256055363322,0.164705882352941,0.153240460327075,,3.62460751935906,0.916921508664628
854_2006,854,2006,Burkina Faso 2006,854001015,0.49698655540102,1.2428167687235,0.226095148374941,0.211673299223043,,3.76305889479051,0.887079261672096
854_2006,854,2006,Burkina Faso 2006,854001027,0.502653525398029,1.30708918654035,0.244037896112382,0.221694576355911,,3.61415587914645,0.824066558441558
854_2006,854,2006,Burkina Faso 2006,854001031,0.490282131661442,1.23084384093113,0.232137083737472,0.212765957446809,,3.84009723961542,0.88936170212766
