census_id,country,year,census_label,geolev2,wh_ratio,single_1519,single_2024,single_2529,single_3034,single_3539,single_4044,single_4549,avg_educ,log_popdens,sex_ratio
854_1996,854,1996,Burkina Faso 1996,854001013,1.16144510302004,0.949752883031301,0.641604010025063,0.274590163934426,0.116279069767442,0.0781818181818182,0.0776053215077605,0.0567164179104478,,3.44967002784078,0.938960515713135
854_1996,854,1996,Burkina Faso 1996,854001015,1.31689497716895,0.963074604370761,0.729044834307992,0.391089108910891,0.20114122681883,0.162977867203219,0.0840579710144928,0.09,,3.58185084315285,0.906694091249065
854_1996,854,1996,Burkina Faso 1996,854001027,1.32528690146419,0.972765957446808,0.767441860465116,0.434704830053667,0.298892988929889,0.224390243902439,0.184818481848185,0.134020618556701,,3.50645794725514,0.921193751457216
854_1996,854,1996,Burkina Faso 1996,854001031,1.35832606800349,0.982328482328482,0.762633996937213,0.431693989071038,0.280808080808081,0.201086956521739,0.184848484848485,0.124113475177305,,3.66918685190028,0.8785536159601
854_1996,854,1996,Burkina Faso 1996,854001032,1.30926111668338,0.967522658610272,0.693376068376068,0.410468319559229,0.23304347826087,0.125842696629213,0.0879765395894428,0.0719178082191781,,3.66407434693254,0.938097306689835
854_1996,854,1996,Burkina Faso 1996,854001040,1.32744340143567,0.969802555168409,0.717857142857143,0.337628865979382,0.238532110091743,0.15702479338843,0.142131979695431,0.0574162679425837,,3.6558396197515,0.854019292604502
854_1996,854,1996,Burkina Faso 1996,854002006,1.34134007585335,0.988095238095238,0.845930232558139,0.564320388349515,0.315625,0.20479704797048,0.119760479041916,0.082051282051282,,2.79177838389227,0.924442833846711
854_1996,854,1996,Burkina Faso 1996,854002038,1.36292428198433,0.984031936127744,0.811428571428571,0.495833333333333,0.193877551020408,0.158823529411765,0.0759493670886076,0.0789473684210526,,3.41903732978394,0.877211238293444
854_1996,854,1996,Burkina Faso 1996,854003011,1.17655672009864,0.99281370923162,0.925085779641632,0.674679113185531,0.357602912349482,0.17950555356503,0.12125468164794,0.0957178841309824,,5.81975651105964,1.11305709810622
854_1996,854,1996,Burkina Faso 1996,854004004,1.50383631713555,0.976648351648352,0.797297297297297,0.566094100074683,0.384550084889644,0.291346153846154,0.290155440414508,0.1850699844479,,4.21980173022592,0.843369977624283
854_1996,854,1996,Burkina Faso 1996,854004014,1.44306220095694,0.982231698649609,0.832786885245902,0.551499348109518,0.35640648011782,0.243856332703214,0.183856502242152,0.126404494382022,,4.52850513071143,0.859862778730703
854_1996,854,1996,Burkina Faso 1996,854004036,1.33126822157434,0.955486542443064,0.706214689265537,0.405772495755518,0.250463821892393,0.16,0.1,0.072202166064982,,3.62380744515037,0.880376344086022
854_1996,854,1996,Burkina Faso 1996,854005001,1.46534653465347,0.976859504132231,0.815823605706874,0.502196193265007,0.295652173913044,0.228637413394919,0.202346041055718,0.121495327102804,,4.02015964759043,0.844408753262397
854_1996,854,1996,Burkina Faso 1996,854005017,1.38109393579073,0.963738920225624,0.742690058479532,0.452196382428941,0.218604651162791,0.136015325670498,0.0861678004535147,0.0741839762611276,,3.68912938092963,0.870914734343619
854_1996,854,1996,Burkina Faso 1996,854005023,1.55778640121478,0.973802701596398,0.841138114997036,0.559384164222874,0.28448275862069,0.159528907922912,0.123581336696091,0.0733229329173167,,3.94061047710999,0.820263832905826
